Scen,Beskrivning,Medverkande,Sidor
1:1,Rid över skog,Mattisrövare + Borkarövare,2
1:2,Åskväder,"Mattisrövare + Borkarövare, Vildvittror",3
1:3,Ronja föds,Mattisrövare + Borkarövare,4-6
1:4,Darum,Mattisrövare + Borkarövare,7
1:5,Åsknallen,Mattisrövare + Borkarövare,8
1:6,Vargsången,Mattisrövare + Borkarövare,9
1:7,Hit med lite farligheter,"Ronja, Mattisrövare + Borkarövare",10-11
1:8,Ronjas gånglåt,"Ronja, Mattisrövare + Borkarövare",12-13
1:9,Grådvärgar,"Ronja, Grådvärgar, Mattis, Mattisrövare",14-15
1:10,Vargsången,"Ronja, Mattisrövare",16
1:11,Samtal vid bordet,"Ronja, Mattisrövare",17
1:12,Hövdingsången,"Ronja, Mattisrövare",18
1:13,Ronja & Birks 1 möte,"Ronja, Birk",19-22
1:14,Mattis får info om Birk,"Ronja, Mattisrövare",23-25
1:15,Möte vid Helvetsgapet,"Ronja, Mattisrövare, Birk, Borkarövare + knektar",26-27
1:16,De underjordiska,"Ronja, Birk, De underjordiska",28-30
1:17,Vad är en rövare?,"Mattis, Ronja, Skalle-Per",31-32
1:18,Vargsången,"Mattis, Ronja, Lovis",33
1:19,rumpnissar,"Ronja, Rumpnissar",34-36
1:20,Vildvottror,"Ronja, Vildvittror",37
1:21,Birk räddar Ronja,"Ronja, Birk, Rumpnissar",38-39
1:22,Dipjojken,"Ronja, Birk, (rövare som sjunger off stage), Mattisrövare",40
1:23,Insnöade,"Ronja, Mattisrövare",41
1:24,Darum,"Ronja, Mattisrövare",42
1:25,Samtal med Skalle-Per,"Ronja, Skalle-Per, Mattisrövare",43
1:26,Ronja gräver,"Ronja, Birk",44-46
1:27,Rid över skog,"Ronja, Mattisrövare",47
1:28,Ronjas gånglåt,"Ronja, Mattisrövare, (rövare som sjunger off stage)",48
1:29,vårdag,"Ronja, Birk, Oknytt",49-50
1:30,Sturkas skjuten,"Ronja, Mattisrövare",51-53
1:31,Ronja och Birk ledsna,"Ronja, Birk",54
1:32,Birk tillfångatagen,"Ronja, Birk, Mattisrövare",55-56
2:1,överlämning,"Ronja, Birk, Mattisrövare, Borkarövare, knektar",58-61
2:2,Ronja lämnar Borgen,"Ronja, Lillklippen",62
2:3,Vilda skogssången,"Lillklippen, Jutis, Joen",63
2:4,Björngrottan,"Ronja, Birk, Grådvärgar",64-65
2:5,Vildvittror anfaller,"Ronja, Birk, Vildvittror",66-68
2:6,Kniven kom tillrätta,"Ronja, Birk",69
2:7,Vilda skogssången,"Mattisrövare, (ej Mattis)",70
2:8,Lillklippen på besök,"Ronja, Birk, Lillklippen",71-74
2:9,Ronja och Birk ensamma,"Ronja, Birk",75
2:10,Mattis förtvivlad,"Mattis, Lovis, Mattisrövare,?",76
2:11,Lovis på besök,"Lovis, Ronja, Birk",77-79
2:12,Vargsången,"Lovis, Ronja",80
2:13,Samtal sista sommaren,"Ronja, Birk",81-82
2:14,Mattis har sitt barn,"Mattis, Ronja, Birk",83-85
2:15,Borka jagad av knektar,"Mattis, Ronja, Birk, Borkarövare, knektar",86-87
2:16,Mattis vs Borka,Alla,88
2:17,Vildjursmöte,alla,89-90
2:18,Festsång,alla,91
2:19,Birk vill ej rövarhövding,alla,92
2:20,Skalle-Pers hemlighet,"Ronja, Skalle-Per + alla",93
2:21,Skalle-pers död,alla,94-96
2:22,Rid över skog,alla,97
2:23,bergsmän,"Ronja, Birk, Lovis, Mattis",98-99
