Datum,Tid,Scen
2024-06-03,13:00-14:00,2:9
2024-06-03,14:00-15:00,2:13
2024-06-03,15:00-16:00,1:3
2024-06-03,16:00-17:30,1:4
2024-06-03,16:00-17:30,1:5
2024-06-03,16:00-17:30,1:6
2024-06-03,17:30-18:30,1:7
2024-06-03,17:30-18:30,1:8
2024-06-03,18:30-19:00,mat
2024-06-03,19:00-21:30,1:15
2024-06-03,19:00-21:30,2:1
2024-06-04,10:00-12:00,1:10
2024-06-04,10:00-12:00,1:11
2024-06-04,10:00-12:00,1:12
2024-06-04,12:00-13:00,1:13
2024-06-04,13:00-14:00,lunch
2024-06-04,14:00-15:00,1:14
2024-06-04,15:00-17:00,1:15
2024-06-04,17:00-18:30,1:19
2024-06-04,18:30-21:00,2:16
2024-06-04,18:30-21:00,2:17
2024-06-05,09:30-12:00,Rep minishow (nationaldag + midsommar)
2024-06-06,09:00-11:00,samling för Ronja Birk och Mattisrövare
2024-06-06,11:00-?,Minishow gamla stan Falkenberg
2024-06-06,?-?,Minishow stora scen Appelbay day
2024-06-07,10:00-11:00,2:2
2024-06-07,11:00-12:00,2:8
2024-06-07,12:00-13:00,lunch
2024-06-07,13:00-14:00,2:9
2024-06-07,14:00-15:30,2:11
2024-06-07,14:00-15:30,2:12
2024-06-07,15:30-16:30,2:14
2024-06-07,16:30-18:00,2:15
2024-06-07,18:00-19:00,mat
2024-06-07,19:00-21:00,2:18
2024-06-07,19:00-21:00,2:19
2024-06-07,19:00-21:00,2:20
2024-06-07,19:00-21:00,2:21
2024-06-07,19:00-21:00,2:22
2024-06-08,10:00-11:00,2:3
2024-06-08,11:00-13:00,2:1
2024-06-08,13:00-13:30,lunch
2024-06-08,13:30-15:30,2:5
2024-06-08,15:30-19:30,1:1
2024-06-08,15:30-19:30,1:2
2024-06-08,15:30-19:30,1:3
2024-06-08,15:30-19:30,1:4
2024-06-08,15:30-19:30,1:5
2024-06-08,15:30-19:30,1:6
2024-06-08,15:30-19:30,1:7
2024-06-08,15:30-19:30,1:8
2024-06-09,10:00-12:00,1:9
2024-06-09,10:00-12:00,2:4
2024-06-09,12:00-13:00,lunch
2024-06-09,13:00-15:00,1:16
2024-06-09,15:00-16:30,1:20
2024-06-09,16:30-18:00,2:21
2024-06-09,16:30-18:00,2:22
2024-06-09,18:00-?,ALLA möte grill teaser.
2024-06-10,10:00-13:00,Schlager-rep
2024-06-10,13:00-14:00,lunch
2024-06-10,14:00-17:00,1:29
2024-06-10,14:00-17:00,1:30
2024-06-10,14:00-17:00,1:31
2024-06-10,14:00-17:00,1:32
2024-06-10,17:00-18:00,1:17
2024-06-10,18:00-19:00,1:18
2024-06-10,19:00-21:00,Ronja Birk
2024-06-11,Ledigt
2024-06-12,Ledigt
2024-06-13,10:00-13:00,Schlager-rep
2024-06-13,13:00-14:00,lunch
2024-06-13,14:00-15:00,2:7
2024-06-13,15:00-16:00,2:10
2024-06-13,16:00-17:30,2:11
2024-06-13,16:00-17:30,2:12
2024-06-13,17:30-18:00,mat
2024-06-13,18:00-19:30,2:23
2024-06-14,10:00-11:00,1:19
2024-06-14,11:00-12:30,1:15
2024-06-14,12:30-13:30,lunch
2024-06-14,13:30-14:30,2:1
2024-06-14,14:30-16:30,1:16
2024-06-14,14:30-16:30,"sång, alla"
2024-06-14,16:30-18:30,2:15
2024-06-15,10:00-13:00,sagostund Kålle
2024-06-15,10:00-13:00,dans Liv
2024-06-15,13:00-14:00,lunch
2024-06-15,14:00-18:00,alla
2024-06-15,18:00,"ALLA, möte, grill, teaser"

